object_id,ra_str,dec_str,ra_deg,dec_deg,aperture_arcsec,band,wavelength_um,flux_nJy,flux_err_nJy,mag_AB,mag_err,psf_fwhm_arcsec,redshift
NGC1049,2h39m48.16s,-34d15m30.3s,39.9507,-34.2584,33,r,0.6231,31968700,17390.8,12.6382,0.0006,0.802,0.00032
NGC1049,2h39m48.16s,-34d15m30.3s,39.9507,-34.2584,33,g,0.4770,23901800,6032.72,12.9539,0.0003,1.15,0.00032
NGC1049,2h39m48.16s,-34d15m30.3s,39.9507,-34.2584,33,i,0.7625,38836600,24016,12.4269,0.0007,0.885,0.00032
ESO356-SC001,2h38m44.24s,-34d48m30.5s,39.6843,-34.8085,36,r,0.6231,16097400,11475,13.3831,0.0008,0.842,0.00032
ESO356-SC001,2h38m44.24s,-34d48m30.5s,39.6843,-34.8085,36,g,0.4770,10241900,6179.2,13.8741,0.0007,1.10,0.00032
ESO356-SC001,2h38m44.24s,-34d48m30.5s,39.6843,-34.8085,36,i,0.7625,19999000,21106,13.1475,0.0011,0.927,0.00032
ESO356-SC005,2h40m7.697s,-34d32m10.59s,40.0321,-34.5363,20,r,0.6231,17475500,23392.4,13.2939,0.001,0.885,0.00032
ESO356-SC005,2h40m7.697s,-34d32m10.59s,40.0321,-34.5363,20,i,0.7625,21901400,22850.9,13.0488,0.0011,0.799,0.00032
FornaxGC6,2h40m6.9s,-34d25m19.2s,40.0288,-34.4220,35,r,0.6231,4413080,24830.4,14.7881,0.006,0.797,0.00032
FornaxGC6,2h40m6.9s,-34d25m19.2s,40.0288,-34.4220,35,i,0.7625,5860790,44647.7,14.4801,0.0083,0.809,0.00032
